experiment_name,dgp,seed,n_train,variation,rmse_credible,coverage_credible,gr_rmse_credible,ess_rmse_credible,rmse_predictive,coverage_predictive,gr_rmse_predictive,ess_rmse_predictive,rmse_pred_vs_true,coverage_pred_vs_true,gr_rmse_pred_vs_true,ess_rmse_pred_vs_true
Burn-in,1199_BNG_echoMonths,1,200,nskip_10000,12.09823331945687,0.6052857142857142,0.999985670929946,61075.8445659427,12.099329579844134,0.9624285714285714,1.000018159683582,47527.33006275555,12.099329579844134,0.9624285714285714,1.000018159683582,47527.33006275555
Burn-in,1199_BNG_echoMonths,2,200,nskip_10000,12.04466566884987,0.5926428571428571,1.0000587750481627,46751.3078521243,12.045093528859109,0.9516428571428572,0.9999898031953857,46119.16762207101,12.045093528859109,0.9516428571428572,0.9999898031953857,46119.16762207101
Burn-in,1199_BNG_echoMonths,3,200,nskip_10000,12.078992666018225,0.6123571428571428,1.000005201093216,35348.97032024922,12.08068541917936,0.935,1.000122558708709,41743.58306294511,12.08068541917936,0.935,1.000122558708709,41743.58306294511
Burn-in,1199_BNG_echoMonths,4,200,nskip_10000,12.146092205849698,0.5819285714285714,1.0000447070880742,47681.522476835,12.147331076587918,0.9464285714285714,0.9999713059326581,49586.59535354119,12.147331076587918,0.9464285714285714,0.9999713059326581,49586.59535354119
Burn-in,1199_BNG_echoMonths,5,200,nskip_10000,11.85281048052259,0.6302857142857143,1.0000594678905588,36683.46240909388,11.853869003582275,0.9455714285714285,1.0000805891779727,47918.04656860217,11.853869003582275,0.9455714285714285,1.0000805891779727,47918.04656860217
Burn-in,1199_BNG_echoMonths,6,200,nskip_10000,12.465769353969835,0.5782857142857143,1.0000419180004865,56731.04059371829,12.466197184092668,0.9410000000000001,1.0000128638523191,49438.98729859248,12.466197184092668,0.9410000000000001,1.0000128638523191,49438.98729859248
Burn-in,1199_BNG_echoMonths,7,200,nskip_10000,11.757343520092444,0.6426428571428572,0.99996911719733,40011.60135805184,11.757745507039798,0.9542857142857143,1.0000053315218524,41198.169193441325,11.757745507039798,0.9542857142857143,1.0000053315218524,41198.169193441325
Burn-in,1199_BNG_echoMonths,8,200,nskip_10000,12.399094366574516,0.5937142857142857,1.0000923964230997,45174.933626851525,12.399819941730149,0.9412142857142858,1.0001204140079658,39686.58175265792,12.399819941730149,0.9412142857142858,1.0001204140079658,39686.58175265792
Burn-in,1199_BNG_echoMonths,9,200,nskip_10000,12.148754909560445,0.6553571428571427,1.0000046253993746,54614.85572208354,12.14951102804438,0.9687142857142857,0.9999963621890299,48103.07798101857,12.14951102804438,0.9687142857142857,0.9999963621890299,48103.07798101857
Burn-in,1199_BNG_echoMonths,10,200,nskip_10000,12.115495948212212,0.6275,0.9999930273950891,45221.684218970935,12.117019377614904,0.9627142857142856,1.0000142707260142,46561.4288581554,12.117019377614904,0.9627142857142856,1.0000142707260142,46561.4288581554
Burn-in,1199_BNG_echoMonths,11,200,nskip_10000,12.222306677133842,0.5837142857142857,1.0001688645296538,49548.9938511061,12.222028717089724,0.94,1.0000722559481714,48069.00230313203,12.222028717089724,0.94,1.0000722559481714,48069.00230313203
Burn-in,1199_BNG_echoMonths,12,200,nskip_10000,12.24778718622321,0.6010714285714285,1.0000552760083021,51744.32773157288,12.247946670340529,0.9418571428571428,0.9999830645931586,48711.76496101261,12.247946670340529,0.9418571428571428,0.9999830645931586,48711.76496101261
Burn-in,1199_BNG_echoMonths,13,200,nskip_10000,12.711611085191757,0.5922142857142858,1.0000569380018707,42282.04477156048,12.711265812781901,0.9373571428571429,1.0000396063751347,44798.227498987915,12.711265812781901,0.9373571428571429,1.0000396063751347,44798.227498987915
Burn-in,1199_BNG_echoMonths,14,200,nskip_10000,12.152361940433867,0.5870714285714286,1.000007196542996,37299.601776079246,12.152110588533972,0.929142857142857,1.000043201186871,41263.109123627495,12.152110588533972,0.929142857142857,1.000043201186871,41263.109123627495
Burn-in,1199_BNG_echoMonths,15,200,nskip_10000,11.985181745908932,0.6045714285714285,1.0001034687882053,44836.98326989544,11.984889676630718,0.9610714285714286,1.00007790429401,45537.534176486886,11.984889676630718,0.9610714285714286,1.00007790429401,45537.534176486886
Burn-in,1199_BNG_echoMonths,16,200,nskip_10000,11.532624048591071,0.5917857142857142,1.000075297560713,43599.332176334254,11.532738106709406,0.9455714285714286,0.9999892349236241,45292.04815418862,11.532738106709406,0.9455714285714286,0.9999892349236241,45292.04815418862
Burn-in,1199_BNG_echoMonths,17,200,nskip_10000,12.07687353377476,0.6006428571428571,0.9999810615739614,48030.548826167746,12.077331160577142,0.9620714285714286,1.0000327588620601,42869.3667722843,12.077331160577142,0.9620714285714286,1.0000327588620601,42869.3667722843
Burn-in,1199_BNG_echoMonths,18,200,nskip_10000,12.125533277588646,0.5961428571428571,0.9999888112946668,48191.46910460873,12.124741234914,0.9415714285714285,0.9999991692292837,44854.74644714632,12.124741234914,0.9415714285714285,0.9999991692292837,44854.74644714632
Burn-in,1199_BNG_echoMonths,19,200,nskip_10000,12.218422693690412,0.5920000000000001,1.000101549986047,50102.97319088351,12.217820824056105,0.9504285714285714,1.000000364296113,46087.90697716412,12.217820824056105,0.9504285714285714,1.000000364296113,46087.90697716412
Burn-in,1199_BNG_echoMonths,20,200,nskip_10000,11.699200114718177,0.6776428571428572,0.9999854539237488,42145.675200451806,11.700386819053344,0.9672142857142857,1.0000006373478691,42065.7989494633,11.700386819053344,0.9672142857142857,1.0000006373478691,42065.7989494633
Burn-in,1199_BNG_echoMonths,21,200,nskip_10000,12.098796018810477,0.5812857142857143,1.000103522079604,42267.84694434046,12.10056259426413,0.9375,1.000100750551077,40937.617058970805,12.10056259426413,0.9375,1.000100750551077,40937.617058970805
Burn-in,1199_BNG_echoMonths,22,200,nskip_10000,12.314860522546866,0.5995714285714286,0.999997376324478,57520.76809395082,12.316225821259414,0.9545,1.0000093894311426,46243.64609539078,12.316225821259414,0.9545,1.0000093894311426,46243.64609539078
Burn-in,1199_BNG_echoMonths,23,200,nskip_10000,12.191722858833613,0.5985714285714286,1.0001392758144285,35540.19333733058,12.19199894852932,0.9105000000000001,1.000005816130079,38710.83307586507,12.19199894852932,0.9105000000000001,1.000005816130079,38710.83307586507
Burn-in,1199_BNG_echoMonths,24,200,nskip_10000,11.909782274775939,0.5995,0.999980240286959,50082.91079080802,11.910370471591753,0.9638571428571429,1.0000327931679072,48966.739748504944,11.910370471591753,0.9638571428571429,1.0000327931679072,48966.739748504944
Burn-in,1199_BNG_echoMonths,25,200,nskip_10000,12.25860985474359,0.5774285714285715,1.0000295018400822,42547.78100549607,12.258248013266984,0.9225714285714286,1.0000188537720267,43454.08215506985,12.258248013266984,0.9225714285714286,1.0000188537720267,43454.08215506985
Burn-in,1199_BNG_echoMonths,1,200,nskip_5000,12.098932781997307,0.6052857142857143,1.0000100257205284,60130.45724953863,12.099925430948339,0.9620714285714285,1.000034536828837,46997.4008632036,12.099925430948339,0.9620714285714285,1.000034536828837,46997.4008632036
Burn-in,1199_BNG_echoMonths,2,200,nskip_5000,12.044772979564454,0.593,1.000028923190254,47973.92026527269,12.045491545310703,0.9511428571428571,1.000013122813413,46415.039740292086,12.045491545310703,0.9511428571428571,1.000013122813413,46415.039740292086
Burn-in,1199_BNG_echoMonths,3,200,nskip_5000,12.079894621730164,0.6124285714285713,1.0001615532969996,37535.980867533865,12.080965633016586,0.9356428571428572,1.0000394759376237,42222.59315283298,12.080965633016586,0.9356428571428572,1.0000394759376237,42222.59315283298
Burn-in,1199_BNG_echoMonths,4,200,nskip_5000,12.147431583140573,0.5826428571428571,1.0000630547787384,46487.60721753679,12.147138271091935,0.946,1.0001023654199657,48587.23242242,12.147138271091935,0.946,1.0001023654199657,48587.23242242
Burn-in,1199_BNG_echoMonths,5,200,nskip_5000,11.85220554530125,0.6302857142857143,1.0000577444587415,37066.81462192891,11.85189779446415,0.9457142857142857,1.0000248930474551,45184.93313437524,11.85189779446415,0.9457142857142857,1.0000248930474551,45184.93313437524
Burn-in,1199_BNG_echoMonths,6,200,nskip_5000,12.467171669262061,0.5787142857142857,0.999971759184091,58033.01378656774,12.467499041209871,0.9407857142857143,1.0000436186084536,50139.570731188476,12.467499041209871,0.9407857142857143,1.0000436186084536,50139.570731188476
Burn-in,1199_BNG_echoMonths,7,200,nskip_5000,11.757885746203847,0.6431428571428571,1.0000214331068367,41923.71487998236,11.75795638730513,0.9535714285714286,0.9999996968427175,41814.1488471742,11.75795638730513,0.9535714285714286,0.9999996968427175,41814.1488471742
Burn-in,1199_BNG_echoMonths,8,200,nskip_5000,12.398570390073829,0.5944285714285714,1.0000180020562888,44864.54888594183,12.399076399235842,0.9414285714285714,1.0000749288228845,39014.978183282285,12.399076399235842,0.9414285714285714,1.0000749288228845,39014.978183282285
Burn-in,1199_BNG_echoMonths,9,200,nskip_5000,12.14872809565047,0.6560714285714286,0.9999898930699265,56187.01844250606,12.149910710402157,0.9693571428571428,1.000061599472679,48775.644291227065,12.149910710402157,0.9693571428571428,1.000061599472679,48775.644291227065
Burn-in,1199_BNG_echoMonths,10,200,nskip_5000,12.115600741194628,0.6270714285714285,1.0000913360511587,45481.099944972695,12.115514830653483,0.9627857142857142,1.00010686891381,46596.431235145596,12.115514830653483,0.9627857142857142,1.00010686891381,46596.431235145596
Burn-in,1199_BNG_echoMonths,11,200,nskip_5000,12.22316400469085,0.5834999999999999,1.0000238113697895,49566.74318453882,12.224464505645829,0.9413571428571429,0.999994668157654,47635.419072685676,12.224464505645829,0.9413571428571429,0.999994668157654,47635.419072685676
Burn-in,1199_BNG_echoMonths,12,200,nskip_5000,12.246269916238848,0.6012857142857143,1.00007824662956,51995.60564672034,12.245451907121478,0.9415,1.0000475564041977,48655.13793172771,12.245451907121478,0.9415,1.0000475564041977,48655.13793172771
Burn-in,1199_BNG_echoMonths,13,200,nskip_5000,12.713854891040295,0.5915714285714285,1.0000805404204434,41711.72153515693,12.714349658310173,0.9390714285714286,1.0000201655132874,43996.12832018311,12.714349658310173,0.9390714285714286,1.0000201655132874,43996.12832018311
Burn-in,1199_BNG_echoMonths,14,200,nskip_5000,12.151917070356443,0.5874285714285714,1.0000674630131772,37582.294140365,12.151455698223977,0.9305714285714286,1.000065811592356,40131.62285677479,12.151455698223977,0.9305714285714286,1.000065811592356,40131.62285677479
Burn-in,1199_BNG_echoMonths,15,200,nskip_5000,11.986508727174957,0.6047857142857143,1.0000271392312778,44015.75010008797,11.987939908651594,0.9617857142857142,1.000051294133042,43497.87187878612,11.987939908651594,0.9617857142857142,1.000051294133042,43497.87187878612
Burn-in,1199_BNG_echoMonths,16,200,nskip_5000,11.531423793376732,0.5921428571428571,1.0000598100312033,45042.27594468855,11.53212039205979,0.9459285714285715,1.000090842573447,45889.11126107645,11.53212039205979,0.9459285714285715,1.000090842573447,45889.11126107645
Burn-in,1199_BNG_echoMonths,17,200,nskip_5000,12.075958892224563,0.6002142857142858,0.9999926190485503,47220.263621815546,12.075486711964015,0.9626428571428571,1.0000029629428646,44230.058741024135,12.075486711964015,0.9626428571428571,1.0000029629428646,44230.058741024135
Burn-in,1199_BNG_echoMonths,18,200,nskip_5000,12.12713989791301,0.5967142857142858,1.0000200477170553,49260.9457532851,12.125844874132248,0.9417857142857143,1.000043451791082,46696.88222989814,12.125844874132248,0.9417857142857143,1.000043451791082,46696.88222989814
Burn-in,1199_BNG_echoMonths,19,200,nskip_5000,12.218094623832883,0.5918571428571429,1.000074988409011,50689.208020373815,12.217329032388406,0.9505,0.9999800939592141,46349.84034492031,12.217329032388406,0.9505,0.9999800939592141,46349.84034492031
Burn-in,1199_BNG_echoMonths,20,200,nskip_5000,11.697610343079845,0.6772142857142858,1.000088453138994,40115.49317404554,11.698935882007348,0.9670000000000001,0.9999969080880713,40751.21857329657,11.698935882007348,0.9670000000000001,0.9999969080880713,40751.21857329657
Burn-in,1199_BNG_echoMonths,21,200,nskip_5000,12.099170896756537,0.5807857142857142,1.0001283849909648,41423.60511484337,12.097363934878203,0.9377857142857143,1.0000346952025294,42464.68040629152,12.097363934878203,0.9377857142857143,1.0000346952025294,42464.68040629152
Burn-in,1199_BNG_echoMonths,22,200,nskip_5000,12.314515407508548,0.5996428571428571,1.0000503251470643,59962.8574896512,12.315558018640038,0.9544285714285714,1.00008302040846,48755.62569401273,12.315558018640038,0.9544285714285714,1.00008302040846,48755.62569401273
